smiles
CN(C)CCCNC(=O)c1cc(-c2ccccc2)nc2onc(-c3ccc(F)cc3)c12
COc1cccc(C2=NN(C(=O)CN(C)Cc3ccccc3)C(c3ccc(Cl)cc3)C2)c1
CN(C)CCCOc1ccc(CN2CCC(NC(=O)c3cc4cc(-c5ccc(Cl)cc5)c5ccccc5c4s3)CC2)cc1
CCOc1ccc(-n2cc(-c3ccccc3)c3c(NCCCN(C)C)ncnc32)cc1
COc1cc(-c2nc3cc(-c4ccc(Cl)cc4)ccc3n2Cc2ccccc2)ccc1OCCN1CCCC1
